"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","genename","ensmbl"
"7873",1385.30585906557,1.32163684695202,0.172864381853647,5.1741619455823e-15,4.08154252442755e-14,"mesencephalic astrocyte derived neurotrophic factor","ENSG00000145050"
"26229",776.20875538416,1.10141610988122,0.143499107027397,5.32414631935178e-15,4.19085396521972e-14,"beta-1,3-glucuronyltransferase 3","ENSG00000149541"
"10579",638.50008239478,1.28089153513615,0.16786097651117,5.57909848904268e-15,4.38402073824475e-14,"transforming acidic coiled-coil containing protein 2","ENSG00000138162"
"80142",866.307300646748,1.01654099351902,0.13192345957229,5.63634042717514e-15,4.42710674100275e-14,"prostaglandin E synthase 2","ENSG00000148334"
"8544",249.856452770266,1.40962476341793,0.185349992280341,5.79858661015879e-15,4.55065147474171e-14,"pirin","ENSG00000087842"
"29941",299.640254822186,1.40005250458261,0.184251684368939,6.06748902647686e-15,4.75355667586267e-14,"protein kinase N3","ENSG00000160447"
"115584",63.7628654609586,2.384800845692,0.318616152676212,6.15756179363988e-15,4.81795759601205e-14,"solute carrier family 5 member 11","ENSG00000158865"
"1663",592.979665209451,1.09771675955645,0.143200577028845,6.24419398599854e-15,4.87742995996926e-14,"DEAD/H-box helicase 11","ENSG00000013573"
"53340",25.783493194791,1.27456651254626,0.167303892828582,6.36304843001356e-15,4.96393463758577e-14,"sperm autoantigenic protein 17","ENSG00000064199"
"4613",90.9547719401191,3.00528648394183,0.404643794782278,6.879769491545e-15,5.35339351452256e-14,"MYCN proto-oncogene, bHLH transcription factor","ENSG00000134323"
"6170",6235.46037891376,1.00290389151944,0.130342190674762,7.1238684254171e-15,5.53161605768962e-14,"ribosomal protein L39","ENSG00000198918"
"56953",52.8981311942267,1.33337728270601,0.17608364151113,7.26346581182884e-15,5.63524656393852e-14,"5',3'-nucleotidase, mitochondrial","ENSG00000205309"
"4953",1279.19927634881,1.32421174476228,0.174570135627175,7.48417124377407e-15,5.7942378044126e-14,"ornithine decarboxylase 1","ENSG00000115758"
"63922",499.659723757037,1.26519675048206,0.166672117978,7.49686090261178e-15,5.80161625012906e-14,"chromosome transmission fidelity factor 18","ENSG00000127586"
"26801",14.7575596033613,1.16882460718795,0.153699656889024,8.23009278215316e-15,6.34764484886437e-14,"small nucleolar RNA, C/D box 48","ENSG00000201823"
"10589",1109.36725537834,1.04812483329662,0.137643327859265,8.40491260104922e-15,6.47432109923104e-14,"DR1 associated protein 1","ENSG00000175550"
"6280",546.521413919749,4.23543754235113,0.421091598314608,8.55772442438323e-15,6.58926839955445e-14,"S100 calcium binding protein A9","ENSG00000163220"
"6205",12839.1810860214,1.03059500241877,0.134803125906748,8.79441037447599e-15,6.75734527685678e-14,"ribosomal protein S11","ENSG00000142534"
"27341",843.757969478365,1.10584572146054,0.145724349417965,8.87636298365492e-15,6.81461245116383e-14,"ribosomal RNA processing 7 homolog A","ENSG00000189306"
"92675",219.967005016026,1.1346766088949,0.14917846536313,8.91879897349218e-15,6.84147135961614e-14,"D-aminoacyl-tRNA deacylase 1","ENSG00000125821"
"115708",371.608726711636,1.03480362923608,0.135590531697991,9.02485684036988e-15,6.91704803908817e-14,"tRNA methyltransferase 61A","ENSG00000166166"
"105372310",38.5445277518378,2.2277872922375,0.298874769235507,9.10716379412199e-15,6.97721968774536e-14,"uncharacterized LOC105372310",NA
"2760",1046.96845163414,1.28726232263306,0.170395997327083,9.15810096170496e-15,7.01331801754586e-14,"ganglioside GM2 activator","ENSG00000196743"
"79703",193.720873701884,1.16950504170477,0.154307831169306,9.17595103788312e-15,7.02405856022033e-14,"TOP6B like initiator of meiotic double strand breaks","ENSG00000173715"
"54512",464.997103521186,1.35426784096904,0.179729323572048,9.62177918622727e-15,7.3500146828568e-14,"exosome component 4","ENSG00000178896"
"27347",190.802180297461,1.74865223893188,0.233607528977419,9.98823085320691e-15,7.62043503898179e-14,"serine/threonine kinase 39","ENSG00000198648"
"648987",53.3920079600682,1.31577301554957,0.174350892952604,9.99765661845182e-15,7.62445872679607e-14,"ANXA2R overlapping transcript 1","ENSG00000177738"
"347733",437.80907217491,1.28044136985231,0.169471551730278,1.00733721709606e-14,7.67901230998423e-14,"tubulin beta 2B class IIb","ENSG00000137285"
